Alta Floresta D'Oeste;26,9541779;
Ariquemes;44,699474;
Cacoal;23,90714465;
Cerejeiras;49,63874028;
Colorado do Oeste;10,10407194;
Costa Marques;41,20030214;
Espigão D'Oeste;6,538511835;
Guajará-Mirim;24,80214651;
Jaru;18,06064765;
Ji-Paraná;3,221805177;
Machadinho D'Oeste;51,2835983;
Nova Brasilândia D'Oeste;14,17769376;
Ouro Preto do Oeste;37,14526274;
Pimenta Bueno;22,2160511;
Porto Velho;44,49305317;
Presidente Médici;4,208222868;
Rio Crespo;141,6029453;
Rolim de Moura;16,68984701;
Vilhena;32,04654144;
São Miguel do Guaporé;21,51462995;
Nova Mamoré;62,48698188;
Alvorada D'Oeste;11,14640807;
Alto Alegre dos Parecis;43,97215097;
Alto Paraíso;71,25630344;
Buritis;78,31080689;
Novo Horizonte do Oeste;9,172628875;
Cacaulândia;16,37465204;
Campo Novo de Rondônia;118,6591516;
Candeias do Jamari;18,99425424;
Castanheiras;26,27430373;
Chupinguaia;11,3147771;
Cujubim;41,46919431;
Ministro Andreazza;18,14552713;
Mirante da Serra;23,72291634;
Monte Negro;53,3226688;
Parecis;19,52743605;
Primavera de Rondônia;26,65245203;
São Felipe D'Oeste;31,21585766;
São Francisco do Guaporé;29,28772259;
Seringueiras;16,15378402;
Theobroma;17,63979538;
Urupá;21,71867082;
Vale do Anari;50,04504054;
Acrelândia;39,83111607;
Brasiléia;28,00597461;
Capixaba;22,70405267;
Cruzeiro do Sul;21,6279484;
Epitaciolândia;13,22926313;
Feijó;21,57098395;
Mâncio Lima;6,568575933;
Marechal Thaumaturgo;7,02049986;
Plácido de Castro;17,41149158;
Rio Branco;29,42531469;
Rodrigues Alves;20,82465639;
Senador Guiomard;19,79903975;
Sena Madureira;23,63755745;
Tarauacá;5,612774675;
Xapuri;6,207324643;
Porto Acre;20,13693113;
Alvarães;6,861534239;
Anori;5,924170616;
Apuí;21,47305132;
Atalaia do Norte;12,75835672;
Autazes;9,024456277;
Barcelos;11,27607593;
Benjamin Constant;8,679550978;
Beruri;12,48439451;
Boa Vista do Ramos;12,90655653;
Boca do Acre;18,93401496;
Borba;11,0598059;
Canutama;15,1779616;
Carauari;7,501031392;
Careiro;14,76537814;
Careiro da Várzea;4,039587962;
Coari;21,63262709;
Codajás;20,8281263;
Eirunepé;18,91372191;
Fonte Boa;25,41942044;
Humaitá;10,92824514;
Iranduba;30,81444961;
Itacoatiara;13,35782267;
Itapiranga;11,77301625;
Juruá;17,89709172;
Lábrea;17,94825774;
Manacapuru;27,24857513;
Manaquiri;8,47888757;
Manaus;45,43567285;
Manicoré;12,33577993;
Maués;27,7582442;
Nova Olinda do Norte;6,298220753;
Novo Airão;19,69667126;
Novo Aripuanã;4,506331396;
Parintins;9,473913579;
Pauini;10,64226042;
Presidente Figueiredo;24,90039841;
Rio Preto da Eva;18,79275351;
Santa Isabel do Rio Negro;5,327082889;
Santo Antônio do Içá;3,948667325;
São Gabriel da Cachoeira;7,652475576;
São Paulo de Olivença;3,076355134;
São Sebastião do Uatumã;18,06032147;
Silves;11,44819691;
Tabatinga;27,73925104;
Tapauá;5,0671396;
Tefé;14,15695342;
Uarini;40,64710186;
Urucará;22,6193169;
Amajari;31,45313483;
Alto Alegre;23,78121284;
Boa Vista;28,20292347;
Bonfim;17,87150389;
Cantá;21,10149821;
Caracaraí;26,57454159;
Caroebe;24,1021933;
Iracema;22,48959856;
Mucajaí;33,05348053;
Pacaraima;9,372949667;
Rorainópolis;32,22038745;
São João da Baliza;14,44669171;
São Luiz;28,97291033;
Uiramutã;11,67542323;
Abaetetuba;30,24633175;
Abel Figueiredo;29,27829015;
Acará;5,558231741;
Afuá;14,16149772;
Água Azul do Norte;23,76614117;
Alenquer;3,771876886;
Almeirim;8,85791898;
Altamira;64,1128386;
Anajás;4,008658703;
Ananindeua;102,1981003;
Anapu;57,9766161;
Augusto Corrêa;12,25400093;
Aurora do Pará;14,95494822;
Aveiro;12,52426576;
Bagre;4,159041757;
Baião;37,67390544;
Bannach;28,92681516;
Barcarena;46,71318107;
Belém;63,74966255;
Benevides;59,56841721;
Bom Jesus do Tocantins;19,462826;
Bragança;28,04975325;
Brasil Novo;12,65102157;
Brejo Grande do Araguaia;67,82419967;
Breu Branco;49,15863112;
Breves;10,68809987;
Bujaru;11,5879331;
Cachoeira do Piriá;14,99025633;
Cametá;7,388555948;
Canaã dos Carajás;29,71989004;
Capanema;21,83406114;
Capitão Poço;53,55264416;
Castanhal;60,18675089;
Chaves;4,725004725;
Colares;8,720676725;
Conceição do Araguaia;30,50042483;
Concórdia do Pará;28,14027929;
Cumaru do Norte;9,483167378;
Curionópolis;54,27113861;
Curralinho;13,90578828;
Curuçá;8,682314126;
Dom Eliseu;36,74550835;
Eldorado dos Carajás;46,83694498;
Floresta do Araguaia;50,27371243;
Garrafão do Norte;27,75244816;
Goianésia do Pará;58,69692819;
Gurupá;10,24520183;
Igarapé-Açu;13,82819846;
Igarapé-Miri;35,88762048;
Inhangapi;29,6647879;
Ipixuna do Pará;21,27783044;
Irituia;12,65782728;
Itaituba;36,64868167;
Itupiranga;42,62987579;
Jacareacanga;21,11189303;
Jacundá;50,24348767;
Juruti;6,323510813;
Limoeiro do Ajuru;7,933359778;
Mãe do Rio;46,23866264;
Magalhães Barata;24,46183953;
Marabá;101,938964;
Maracanã;6,995452956;
Marapanim;14,92203238;
Marituba;115,528497;
Medicilândia;10,89522426;
Mocajuba;33,41625515;
Moju;41,10734688;
Monte Alegre;3,579034019;
Muaná;8,705240555;
Nova Esperança do Piriá;14,77104874;
Nova Ipixuna;40,66142586;
Nova Timboteua;7,260582299;
Novo Progresso;102,7099629;
Novo Repartimento;49,58492618;
Óbidos;8,047318231;
